image	C:/Users/diogo/OneDrive - Universidade de Lisboa/Ambiente de Trabalho/WORK/202402 - Paper SOTA/figs/fig2_new/tophat.png
intensity-scaling	0
gaussian-std	0
ridge-threshold	0.005
maximum-foreground	255
minimum-foreground	2
init-z	false
snake-point-spacing	1
minimum-snake-length	20
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	4
external-factor	1
stretch-factor	0.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
2          56     264.065     191.342           0     48.7637      3.7379
2          57     264.459     192.258           0     48.4987     3.29808
2          58     264.854     193.175           0     49.4333     3.32006
2          59     265.247     194.091           0      48.668     2.89044
2          60     265.639     195.009           0     45.5948     2.41558
2          61     266.035     195.924           0     42.1125     2.12728
2          62     266.438     196.837           0     39.1326     2.69952
2          63     266.846     197.747           0     40.6663     5.45208
2          64     267.253     198.657           0     47.0944     9.63879
2          65     267.634     199.579           0     57.8531     12.7061
2          66     267.972     200.518           0     69.9075     13.0268
2          67     268.267     201.471           0      74.796     13.3645
2          68     268.573      202.42           0     72.3327     16.4497
2          69     268.951     203.343           0      63.945     17.1018
2          70     269.403     204.233           0     50.3139     13.0578
2          71     269.898     205.099           0     40.7286       10.18
2          72     270.403     205.959           0     36.6621     9.89736
2          73     270.892     206.829           0     38.7942     11.3179
2          74     271.348     207.716           0     44.4754      14.829
2          75     271.757     208.626           0     51.7973     19.5653
2          76     272.128     209.551           0      58.232     22.4046
2          77     272.499     210.478           0     62.9059     23.3143
2          78     272.926     211.379           0     68.1079     24.7549
2          79     273.446      212.23           0     70.9504     28.9621
2          80     274.049     213.025           0     72.7822     32.8201
2          81     274.684     213.794           0     69.8346     31.3101
2          82     275.306     214.574           0     64.7191     26.8812
2          83     275.891     215.382           0     59.0589     22.6761
2          84     276.442     216.213           0     52.7433     18.5222
2          85     276.975     217.056           0     49.7176     14.7553
2          86     277.511     217.898           0     45.5845     12.2785
2          87     278.067     218.726           0      43.914     10.6833
2          88     278.655     219.532           0      40.811     10.2045
2          89     279.274     220.314           0     38.8908     10.4286
2          90     279.915     221.078           0     37.7382     12.2242
2          91      280.57     221.831           0     36.5225     15.6051
2          92     281.236     222.573           0     37.6078     19.9146
2          93     281.925     223.295           0     39.7649     24.2554
2          94     282.659      223.97           0     43.8667     27.6493
2          95     283.383     224.656           0     48.7732     29.4422
2          96     284.086     225.364           0     53.3183     29.6076
2          97     284.773     226.087           0      56.613     32.9863
#1
3           0     132.159     267.045           0     220.115     22.8627
3           1     132.486     266.099           0     207.941     24.4469
3           2      132.79     265.145           0     182.416     30.8151
3           3     133.129     264.204           0     152.602     43.1245
3           4     133.507     263.277           0     125.424     52.6918
3           5      133.88     262.349           0     110.996     56.5925
3           6     134.252      261.42           0     98.0739     55.8825
3           7     134.566      260.47           0     89.8336     54.4307
3           8     134.758     259.488           0     87.6587     51.8069
3           9     134.804     258.488           0     86.7948      57.862
3          10     134.758     257.488           0     86.8995      72.898
3          11     134.687      256.49           0     89.5672     85.2957
3          12     134.645      255.49           0      92.161     87.3875
3          13      134.68      254.49           0     93.0199     81.6012
3          14     134.831     253.501           0     92.4941     68.2348
