image	C:/Users/diogo/OneDrive - Universidade de Lisboa/Ambiente de Trabalho/WORK/202402 - Paper SOTA/figs/fig2/skelorig.tif
intensity-scaling	0
gaussian-std	0
ridge-threshold	0.01
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	1
minimum-snake-length	4
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1
stretch-factor	0.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
2          23     32.6398     328.544           0     8895.96           0
2          24     33.6108     328.804           0     19130.1           0
2          25     34.6038      328.96           0     27482.7           0
2          26     35.6074     329.018           0     23761.6           0
2          27     36.6108     329.079           0     20171.7           0
2          28     37.6043     329.232           0     14681.6           0
2          29      38.577     329.486           0     6686.53           0
2          30       39.55     329.738           0     9062.62           0
2          31     40.5343     329.942           0     14856.7           0
2          32     41.5128     330.173           0     15290.1           0
2          33     42.4692     330.482           0      9311.3           0
2          34      43.428     330.784           0     14030.6           0
2          35     44.4172     330.963           0     16745.1           0
2          36     45.4156      331.08           0     13814.8           0
2          37     46.4098     331.228           0     9589.58           0
2          38     47.3894     331.454           0     6243.31           0
2          39     48.3625     331.706           0     9632.63           0
2          40      49.347     331.909           0     17635.2     2295.17
2          41     50.3283     332.127           0       24663      3319.2
#1
3           0     50.9324     325.036           0     526.785           0
3           1     50.9678     326.034           0     15052.8           0
3           2     50.9948     327.031           0     12927.8           0
3           3     51.0062      328.03           0     16518.2           0
3           4     50.9965     329.028           0     20030.9           0
3           5      50.942     330.024           0     17370.9           0
3           6     50.8211     331.015           0     22129.5     2458.06
3           7     50.6995     332.006           0     28806.6           0
3           8     51.1766     332.883           0     24431.4           0
3           9     51.7597     333.693           0     18241.5           0
3          10     52.3679     334.484           0     15654.4           0
3          11     52.8483     335.359           0     24113.9           0
3          12     53.1756     336.302           0       17350           0
3          13     53.4555      337.26           0     9731.96           0
3          14     53.7856     338.202           0       14029           0
3          15     54.0927     339.152           0     15641.8           0
3          16      54.389     340.105           0     7845.09           0
3          17     54.6991     341.054           0     8328.64           0
3          18     54.9116      342.03           0     13844.7           0
3          19     55.0084     343.023           0     10344.4           0
3          20     55.0924     344.018           0     10564.8           0
3          21     55.2792     344.998           0     10178.8     751.173
3          22     55.5751     345.952           0     8782.58     3265.92
3          23     55.8093     346.922           0     24449.8     6861.56
3          24     55.9549     347.909           0     36646.8     3865.47
3          25     56.0464     348.903           0     50183.2     2017.54
3          26     56.0283     349.901           0     41797.3     5387.29
3          27     56.0072     350.899           0     37360.7     100.207
3          28     55.9997     351.897           0     30313.4           0
3          29     55.9967     352.896           0     35763.7           0
3          30     55.9905     353.894           0     27137.2           0
3          31     55.9809     354.892           0     24224.8           0
3          32     55.9786      355.89           0     22283.7     4.38562
3          33     56.0311     356.887           0     23805.9     2755.08
3          34     56.2414     357.863           0     22003.5     2392.71
3          35     56.6013     358.794           0     16815.2      1787.5
3          36     56.8783     359.753           0     25961.1     1418.44
3          37     57.0548     360.735           0       28221     876.474
3          38      57.271      361.71           0     17910.4     602.934
3          39     57.6062      362.65           0     8437.83           0
3          40     58.0477     363.545           0     13272.2           0
3          41     58.5763     364.392           0     8084.37           0
3          42     59.1574     365.203           0     13839.1           0
3          43     59.6413     366.076           0     14032.1           0
3          44      59.901      367.04           0     21217.6           0
3          45     59.9908     368.034           0     29425.1           0
3          46     60.0047     369.032           0       33733           0
3          47     59.9897      370.03           0     30503.3           0
3          48     59.9802     371.029           0     30398.9           0
3          49     60.0331     372.025           0       32740           0
3          50     60.2762     372.994           0     27403.6           0
3          51     60.6693     373.911           0     22173.9           0
3          52     60.9383     374.872           0     32393.4           0
3          53     61.0164     375.867           0     29535.6           0
3          54     61.0192     376.866           0       27449           0
3          55     61.0079     377.864           0     29101.6           0
3          56     60.9986     378.862           0       30076           0
#1
4           0     133.045     404.559           0     45927.3     361.044
