image	C:/Users/diogo/OneDrive - Universidade de Lisboa/Ambiente de Trabalho/WORK/202402 - Paper SOTA/figs/fig2_new/tophat.png
intensity-scaling	0
gaussian-std	0
ridge-threshold	0.02
maximum-foreground	255
minimum-foreground	0
init-z	true
snake-point-spacing	1
minimum-snake-length	10
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1
stretch-factor	0.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
1         107     217.202     222.831           0     71.0405      13.858
1         108     218.206     222.791           0     83.0257     13.9805
1         109     219.209     222.837           0     103.598     18.8281
1         110     220.204     222.969           0     141.029     27.3813
1         111     221.182     223.197           0      182.82     32.0913
1         112      222.13     223.526           0     203.906     32.7481
1         113     223.057     223.912           0     198.257     35.1804
1         114     223.984     224.299           0     163.172     39.3092
#1
2           0     182.736     499.812           0     134.324      33.055
2           1     183.514      499.18           0     158.654     20.0777
2           2     184.253     498.503           0     160.754     30.0967
2           3     184.886     497.726           0     150.229     36.9958
2           4     185.436     496.888           0     127.757     27.5301
2           5     185.971     496.041           0     103.864     19.1158
2           6     186.551     495.223           0     72.9973     13.8009
2           7      187.11     494.392           0     57.0515     11.1985
2           8     187.686     493.571           0     58.8928     11.0641
2           9     188.285     492.768           0     77.7002     12.5038
2          10     188.944     492.012           0     102.537     15.9963
2          11     189.746     491.412           0     104.383     22.4068
2          12     190.706     491.127           0      94.292     27.4493
2          13     191.706     491.064           0     79.2257     33.7906
2          14     192.708     491.067           0     70.0023     34.6087
2          15     193.709     491.016           0     67.9663     33.4798
2          16     194.696     490.842           0     66.4183     29.5905
2          17     195.652     490.539           0     63.6417       23.34
2          18     196.566     490.127           0     60.6918     19.5822
2          19     197.439     489.636           0     58.1419     16.7834
2          20     198.286       489.1           0     60.5863     13.9238
2          21     199.119     488.542           0     65.1686      11.313
2          22     199.945     487.975           0     72.4852     8.78125
2          23     200.773      487.41           0     71.6968      7.2346
2          24     201.603     486.848           0      69.463     5.84109
2          25     202.434     486.288           0       63.57     4.69119
2          26     203.272     485.737           0     58.8279     3.70866
2          27     204.119     485.201           0     55.7036     2.98831
2          28     204.977     484.683           0     56.6148     2.71884
2          29     205.845     484.183           0     60.0191     2.43507
2          30     206.723     483.698           0     60.9763     2.56628
2          31     207.608     483.228           0     58.5466     2.44281
2          32       208.5     482.771           0     51.1669     2.44615
2          33     209.403     482.335           0     41.3156     3.16879
2          34      210.32     481.931           0     35.7603      5.5816
2          35     211.252     481.563           0     35.7803     9.09008
2          36     212.195     481.223           0     46.8186     13.9067
2          37     213.139     480.885           0     66.1335     18.8043
2          38     214.071     480.516           0     85.7439     21.5278
2          39     214.985     480.105           0     99.0705     23.4827
2          40       215.9     479.696           0      99.252     23.9176
2          41     216.837     479.341           0     94.6199     23.3093
2          42     217.792     479.037           0     92.3868     25.5711
2          43     218.752     478.749           0      94.887     31.5762
2          44     219.698     478.418           0     104.314     36.8799
2          45     220.602     477.984           0      117.51     33.7828
2          46     221.431     477.421           0     122.575     23.6976
2          47     222.156      476.73           0     126.252     16.1595
2          48     222.787     475.951           0     124.826     13.1162
2          49     223.362      475.13           0     120.046     14.8997
2          50     223.929     474.304           0     115.828     18.2757
2          51     224.533     473.503           0     110.411     22.8665
2          52     225.201     472.756           0     107.259     26.9638
2          53     225.959     472.101           0     103.997     31.1674
2          54     226.815      471.58           0     101.897     38.9864
2          55     227.741     471.196           0     100.321     49.1802
2          56     228.698     470.897           0     99.5778      53.696
2          57     229.654     470.596           0     96.0194      54.727
2          58     230.588     470.232           0     90.5369     56.2676
2          59     231.479     469.774           0     83.7858     54.3029
2          60     232.326     469.238           0      75.972     44.0982
2          61     233.151     468.669           0     70.5507     29.8669
2          62     233.996     468.129           0     69.6132     18.5695
2          63     234.889     467.674           0     73.2996     13.3728
2          64     235.825     467.315           0     83.1964     12.2143
2          65     236.786     467.033           0     109.396      12.993
2          66     237.762     466.805           0      141.92       15.31
2          67     238.742     466.595           0     176.988      18.388
2          68      239.71     466.336           0     204.258      20.249
2          69     240.645     465.975           0     215.274     29.1338
2          70     241.554     465.552           0     196.917      44.128
2          71     242.477     465.161           0     180.185     60.5933
2          72     243.425     464.836           0     167.906     73.7581
2          73     244.391     464.567           0     165.594     81.4141
2          74     245.346     464.264           0      175.16     74.9264
2          75     246.258      463.85           0     187.262     57.1514
2          76     247.133      463.36           0     190.434     42.3295
2          77     248.036     462.926           0     180.106     38.8917
2          78     249.007     462.685           0     141.865     52.3517
2          79     250.008     462.659           0      105.14     48.3406
2          80     251.002     462.789           0     80.1368     24.2906
2          81     251.985     462.985           0     71.9602     13.6388
2          82      252.97     463.167           0     74.6943     15.4667
2          83     253.965     463.291           0     83.4909     22.2565
2          84     254.965     463.352           0      98.073     31.1665
2          85     255.967     463.364           0     117.543     40.2638
2          86     256.969     463.339           0     143.821     51.1903
2          87      257.97     463.277           0      167.96     63.9833
2          88     258.967     463.179           0     180.768     74.6686
2          89      259.96     463.043           0     182.139     77.4999
2          90     260.946     462.863           0     170.623     70.6079
2          91     261.921      462.63           0     159.186     61.6788
2          92     262.883     462.348           0     155.057      53.051
2          93     263.839     462.046           0     148.749     41.7234
2          94     264.803     461.772           0     126.468     25.7699
2          95     265.785     461.573           0     96.7105     18.0403
2          96     266.781     461.462           0     66.1046     25.0045
2          97     267.782      461.42           0     45.0107     29.0909
2          98     268.785     461.409           0     37.5408     23.8429
2          99     269.786     461.382           0     38.3756     16.5484
2         100     270.786     461.309           0      41.974     10.4321
2         101      271.78     461.177           0      46.638     6.02568
2         102     272.764     460.987           0      50.398     3.13373
2         103     273.738      460.75           0     49.6741      1.2744
2         104     274.699     460.467           0     49.0065    0.679715
2         105     275.641     460.124           0     49.8362    0.318669
2         106     276.556     459.714           0     47.7459    0.237862
2         107     277.437     459.237           0     45.9778    0.280669
2         108     278.278     458.692           0     44.9808    0.224881
2         109     279.077     458.086           0     47.5025    0.321783
2         110     279.829     457.424           0     49.7987    0.478149
2         111     280.529     456.707           0     53.9883    0.676512
2         112     281.162     455.929           0      58.323    0.762344
2         113     281.709     455.089           0     58.3954    0.803457
2         114     282.176     454.203           0     57.4157     0.85155
2         115     282.575     453.283           0     55.4124     0.64575
2         116     282.928     452.345           0     56.4311    0.548106
2         117     283.254     451.397           0     55.2818    0.421535
2         118     283.562     450.443           0     55.3959    0.460022
2         119     283.865     449.488           0     57.9322    0.493393
2         120     284.174     448.534           0     58.7444    0.613986
2         121     284.492     447.584           0     58.0052    0.871861
2         122     284.823     446.638           0     59.2085     1.49404
2         123     285.166     445.696           0     59.2502      2.3282
2         124      285.51     444.755           0     57.7543     3.29981
2         125     285.856     443.814           0     58.7661     5.01216
2         126     286.202     442.873           0     57.0812      7.8761
2         127     286.538     441.929           0      54.841     11.7121
2         128     286.865     440.981           0     55.0408     15.8955
2         129     287.176     440.028           0     54.9137     19.1076
2         130     287.453     439.065           0     53.9531     21.0374
2         131     287.688     438.091           0     54.3989     22.8113
2         132      287.87     437.105           0     55.8974     24.9544
2         133      287.99      436.11           0     56.0266      27.361
2         134     288.034     435.109           0      56.812     30.7697
2         135     288.032     434.106           0     60.5678     33.9355
2         136     288.043     433.104           0     68.2059     33.7316
2         137     288.149     432.107           0     78.2076     29.0957
2         138     288.399     431.137           0     88.5986     27.3202
2         139     288.777     430.209           0     101.727     31.4798
2         140     289.212     429.306           0     115.175     35.6436
2         141     289.649     428.404           0     125.112      38.011
2         142     290.063     427.491           0     128.914     38.0297
2         143     290.423     426.556           0     115.527     36.5132
2         144     290.731     425.602           0     101.762     34.9866
2         145     290.966     424.628           0     93.0835     36.1429
2         146     291.062      423.63           0     88.9448     47.4286
2         147     290.955     422.633           0     90.2079     61.7235
2         148     290.712     421.661           0     94.4631     55.0998
2         149      290.48     420.686           0     101.511     38.0815
2         150     290.385     419.688           0     108.141     27.2668
2         151     290.469      418.69           0     112.022     22.1993
2         152     290.662     417.706           0     115.804     19.0281
2         153     290.866     416.725           0     123.485       15.87
2         154     291.015     415.734           0     132.033     9.87326
2         155     291.089     414.734           0      135.34     4.04842
2         156     291.106     413.732           0     138.126     1.62315
2         157     291.085      412.73           0     138.913     1.16805
2         158     291.043     411.729           0     138.498     1.23731
2         159      290.98     410.728           0      136.45     2.14793
2         160     290.901     409.729           0     130.731     7.96783
2         161     290.806     408.731           0     125.282     21.8866
2         162     290.709     407.734           0     122.018     37.8507
2         163     290.624     406.735           0      122.16      43.644
2         164     290.553     405.735           0     125.178     39.7264
2         165     290.448     404.738           0     128.696      45.511
2         166     290.227     403.761           0     128.339     51.0872
2         167     289.876     402.822           0     123.217     29.5118
2         168     289.477     401.902           0     112.964     11.3613
2         169     289.116     400.967           0     107.605     5.13723
2         170     288.832     400.006           0     101.353     3.15587
2         171     288.635     399.024           0     96.6047      2.2903
2         172     288.498     398.031           0     94.5472     2.12844
2         173     288.397     397.033           0     95.9676     2.71044
2         174     288.315     396.034           0     96.7843     4.20426
2         175     288.242     395.035           0     98.3034     6.55318
2         176     288.178     394.035           0     99.8301     9.63247
2         177     288.111     393.034           0     101.526     12.7393
2         178     288.009     392.037           0     102.874     13.5645
2         179     287.841     391.049           0      99.309     11.4061
2         180     287.596     390.077           0     95.4757     7.92976
2         181     287.289     389.123           0     94.5064     5.12714
2         182     286.953     388.179           0      97.203     4.35845
2         183     286.652     387.223           0     94.0009     3.94448
2         184     286.434     386.245           0     87.9179     3.82113
2         185     286.311      385.25           0     76.3926     3.48817
2         186     286.267     384.249           0     62.4783     3.17565
2         187     286.277     383.246           0     50.2662     2.99464
2         188     286.314     382.245           0     41.5664     2.84329
2         189     286.363     381.244           0     35.8545     2.52731
2         190     286.412     380.242           0     31.8699     2.45647
